"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
20200903,"VA","A+",2652,2519,11,133,16525,16525,1130,92,,257,1500863,12714,,,,,123,330,123668,118190,1126,0,,,,,142173,15395,1619053,13763,1624531,13840,130036,,,,,0,,0
20200902,"VA","A+",2641,2508,29,133,16433,16433,1114,195,,266,1488149,11075,,,,,134,278,122542,117141,927,0,,,,,140932,15319,1605290,11922,1610691,12002,129100,,,,,0,,0
20200901,"VA","A+",2612,2479,32,133,16238,16238,1039,71,,258,1477074,11117,,,,,130,235,121615,116294,1021,0,,,,,140228,15199,1593368,12077,1598689,12138,124652,,,,,0,,0
20200831,"VA","A+",2580,2447,11,133,16167,16167,1082,78,,257,1465957,12277,,,,,146,318,120594,115334,847,0,,,,,139056,15085,1581291,13097,1586551,13124,124444,,,,,0,,0
20200830,"VA","A+",2569,2436,1,133,16089,16089,1090,31,,251,1453680,11816,,,,,132,313,119747,114514,938,0,,,,,137012,14999,1568194,12707,1573427,12754,123831,,,,,0,,0
20200829,"VA","A+",2568,2435,18,133,16058,16058,1101,91,,245,1441864,15020,,,,,131,310,118809,113623,1217,0,,,,,137012,14957,1555487,16197,1560673,16237,123127,,,,,0,,0
20200828,"VA","A+",2550,2417,35,133,15967,15967,1101,29,,261,1426844,34760,,,,,136,288,117592,112446,2134,0,,,,,135726,14866,1539290,36769,1544436,36894,122422,,,,,0,,0
20200827,"VA","A+",2515,2382,0,133,15938,15938,1174,86,,264,1392084,0,,,,,148,349,115458,110437,0,0,,,,,134326,14764,1502521,0,1507542,0,120887,,,,,0,,0
20200826,"VA","A+",2515,2382,21,133,15852,15852,1170,97,,265,1392084,6749,,,,,145,328,115458,110437,823,0,,,,,133061,14682,1502521,7507,1507542,7572,120887,,,,,0,,0
20200825,"VA","A+",2494,2370,23,124,15755,15755,1174,146,,273,1385335,14985,,,,,144,347,114635,109679,1005,0,,,,,132419,14581,1495014,15897,1499970,15990,120678,,,,,0,,0
20200824,"VA","A+",2471,2352,4,119,15609,15609,1127,11,,256,1370350,12429,,,,,134,307,113630,108767,664,0,,,,,131291,14482,1479117,13084,1483980,13093,120479,,,,,0,,0
20200823,"VA","A+",2467,2348,24,119,15598,15598,1155,91,,251,1357921,11518,,,,,130,309,112966,108112,894,0,,,,,130505,14443,1466033,12362,1470887,12412,119991,,,,,0,,0
20200822,"VA","A+",2443,2324,7,119,15507,15507,1154,25,,254,1346403,15302,,,,,125,291,112072,107268,1212,0,,,,,129523,14353,1453671,16393,1458475,16514,119311,,,,,0,,0
20200821,"VA","A+",2436,2319,9,117,15482,15482,1233,125,,263,1331101,18055,,,,,142,357,110860,106177,978,0,,,,,128248,14249,1437278,18943,1441961,19033,118473,,,,,0,,0
20200820,"VA","A+",2427,2310,17,117,15357,15357,1266,125,,276,1313046,15050,,,,,148,373,109882,105289,863,0,,,,,126909,14091,1418335,15864,1422928,15913,117596,,,,,0,,0
20200819,"VA","A+",2410,2293,14,117,15232,15232,1243,69,,280,1297996,15973,,,,,145,343,109019,104475,737,0,,,,,125862,13989,1402471,16639,1407015,16710,116765,,,,,0,,0
20200818,"VA","A+",2396,2278,11,118,15163,15163,1253,163,,300,1282023,16002,,,,,163,381,108282,103809,861,0,,,,,125049,13910,1385832,16795,1390305,16863,116212,,,,,0,,0
20200817,"VA","A+",2385,2268,4,117,15000,15000,1173,33,,281,1266021,18860,,,,,158,316,107421,103016,734,0,,,,,124287,13827,1369037,19577,1373442,19594,115715,,,,,0,,0
20200816,"VA","A+",2381,2266,0,115,14967,14967,1184,2,,283,1247161,15671,,,,,165,341,106687,102299,937,0,,,,,123419,13783,1349460,16522,1353848,16608,114668,,,,,0,,0
20200815,"VA","A+",2381,2265,11,116,14965,14965,1271,189,,279,1231490,16056,,,,,167,407,105750,101448,912,0,,,,,122373,13694,1332938,16901,1337240,16968,113984,,,,,0,,0
20200814,"VA","A+",2370,2255,7,115,14776,14776,1299,129,,268,1215434,12953,,,,,150,439,104838,100603,1216,0,,,,,121207,13477,1316037,14128,1320272,14169,113179,,,,,0,,0
20200813,"VA","A+",2363,2248,11,115,14647,14647,1258,119,,289,1202481,17446,,,,,141,390,103622,99428,1101,0,,,,,120124,13389,1301909,18500,1306103,18547,112540,,,,,0,,0
20200812,"VA","A+",2352,2238,8,114,14528,14528,1281,83,,290,1185035,15235,,,,,142,397,102521,98374,776,0,,,,,118778,13247,1283409,15897,1287556,16011,111414,,,,,0,,0
20200811,"VA","A+",2344,2232,17,112,14445,14445,1293,233,,280,1169800,9002,,,,,148,427,101745,97712,996,0,,,,,117747,13152,1267512,9907,1271545,9998,110946,,,,,0,,0
20200810,"VA","A+",2327,2215,1,112,14212,14212,1251,89,,279,1160798,16626,,,,,159,396,100749,96807,663,0,,,,,116969,12961,1257605,17266,1261547,17289,110790,,,,,0,,0
20200809,"VA","A+",2326,2214,4,112,14123,14123,1200,22,,260,1144172,20333,,,,,146,344,100086,96167,897,0,,,,,115992,12923,1240339,21174,1244258,21230,110147,,,,,0,,0
20200808,"VA","A+",2322,2211,5,111,14101,14101,1258,4,,271,1123839,12976,,,,,145,362,99189,95326,1307,0,,,,,115088,12843,1219165,14161,1223028,14283,109468,,,,,0,,0
20200807,"VA","A+",2317,2208,18,109,14097,14097,1372,113,,284,1110863,11803,,,,,159,475,97882,94141,2015,0,,,,,113903,12725,1205004,13700,1208745,13818,108689,,,,,0,,0
20200806,"VA","A+",2299,2191,25,108,13984,13984,1349,158,,284,1099060,14353,,,,,157,474,95867,92244,818,0,,,,,112844,12635,1191304,15124,1194927,15171,107953,,,,,0,,0
20200805,"VA","A+",2274,2164,30,110,13826,13826,1304,186,,283,1084707,10920,,,,,144,423,95049,91473,798,0,,,,,111669,12522,1176180,11665,1179756,11718,106956,,,,,0,,0
20200804,"VA","A+",2244,2134,26,110,13640,13640,1255,180,,282,1073787,11785,,,,,144,375,94251,90728,1145,0,,,,,110906,12385,1164515,12911,1168038,12930,106659,,,,,0,,0
20200803,"VA","A+",2218,2108,0,110,13460,13460,1205,180,,271,1062002,13758,,,,,151,322,93106,89602,1324,0,,,,,109903,12255,1151604,15036,1155108,15082,106443,,,,,0,,0
20200802,"VA","A+",2218,2108,3,110,13280,13280,1172,17,,267,1048244,11684,,,,,138,315,91782,88324,981,0,,,,,108778,12108,1136568,12641,1140026,12665,105769,,,,,0,,0
20200801,"VA","A+",2215,2105,41,110,13263,13263,1256,-8,,275,1036560,15701,,,,,150,352,90801,87367,913,0,,,,,107823,12007,1123927,16567,1127361,16614,105098,,,,,0,,0
20200731,"VA","A+",2174,2067,33,107,13271,13271,1334,186,,279,1020859,14790,,,,,145,449,89888,86501,984,0,,,,,106630,11937,1107360,15745,1110747,15774,104262,,,,,0,,0
20200730,"VA","A+",2141,2035,16,106,13085,13085,1357,85,,284,1006069,17306,,,,,147,492,88904,85546,911,0,,,,,105369,11728,1091615,18152,1094973,18217,103486,,,,,0,,0
20200729,"VA","A+",2125,2020,30,105,13000,13000,1350,156,,276,988763,16347,,,,,155,484,87993,84700,999,0,,,,,104037,11650,1073463,17315,1076756,17346,102351,,,,,0,,0
20200728,"VA","A+",2095,1991,13,104,12844,12844,1294,704,,261,972416,19277,,,,,153,436,86994,83732,922,0,,,,,101450,11550,1056148,20138,1059410,20199,101776,,,,,0,,0
20200727,"VA","A+",2082,1978,4,104,12140,12140,1200,84,,260,953139,9466,,,,,140,379,86072,82871,1505,0,,,,,101450,10940,1036010,10944,1039211,10971,101405,,,,,0,,0
20200726,"VA","A+",2078,1975,3,103,12056,12056,1174,55,,268,943673,16839,,,,,143,393,84567,81393,958,0,,,,,100785,10882,1025066,17752,1028240,17797,101186,,,,,0,,0
20200725,"VA","A+",2075,1972,8,103,12001,12001,1201,175,,266,926834,18899,,,,,138,416,83609,80480,1245,0,,,,,99636,10800,1007314,20126,1010443,20144,100381,,,,,0,,0
20200724,"VA","A+",2067,1964,13,103,11826,11826,1250,129,,274,907935,16972,,,,,142,451,82364,79253,1127,0,,,,,98175,10576,987188,18043,990299,18099,99052,,,,,0,,0
20200723,"VA","A+",2054,1951,3,103,11697,11697,1218,209,,257,890963,17169,,,,,136,417,81237,78182,844,0,,,,,96887,10479,969145,17971,972200,18013,97440,,,,,0,,0
20200722,"VA","A+",2051,1948,3,103,11488,11488,1157,64,,253,873794,13073,,,,,136,385,80393,77380,1022,0,,,,,94379,10331,951174,14026,954187,14095,95847,,,,,0,,0
20200721,"VA","A+",2048,1945,17,103,11424,11424,1189,159,,258,860721,18635,,,,,127,427,79371,76427,996,0,,,,,94379,10235,937148,19647,940092,19631,94828,,,,,0,,0
20200720,"VA","A+",2031,1927,4,104,11265,11265,1158,62,,265,842086,12153,,,,,125,415,78375,75415,945,0,,,,,93228,10107,917501,7498,920461,13098,94241,,,,,0,,0
20200719,"VA","A+",2027,1923,2,104,11203,11203,1186,61,,249,829933,16605,,,,,127,453,77430,74490,1057,0,,,,,92712,10017,910003,12739,907363,17662,93869,,,,,0,,0
20200718,"VA","A+",2025,1921,12,104,11142,11142,1166,88,,254,813328,12057,,,,,108,421,76373,73420,940,0,,,,,91652,9976,897264,16938,889701,12997,91892,,,,,0,,0
20200717,"VA","A+",2013,1909,6,104,11054,11054,1171,276,,247,801271,14529,,,,,118,470,75433,72516,1002,0,,,,,90256,9883,880326,12395,876704,15531,90435,,,,,0,,0
20200716,"VA","A+",2007,1903,15,104,10778,10778,1134,170,,248,786742,15287,,,,,118,444,74431,71570,904,0,,,,,89268,9644,867931,13565,861173,16191,88305,,,,,0,,0
20200715,"VA","A+",1992,1882,15,110,10608,10608,1081,58,,246,771455,13048,,,,,113,382,73527,70669,1084,0,,,,,88265,9527,854366,13864,844982,14132,86744,,,,,0,,0
20200714,"VA","A+",1977,1870,9,107,10550,10550,1127,91,,249,758407,16034,,,,,112,420,72443,69610,801,0,,,,,87237,9423,840502,14041,830850,16835,85278,,,,,0,,0
20200713,"VA","A+",1968,1861,2,107,10459,10459,1129,104,,243,742373,8998,,,,,105,466,71642,68814,972,0,,,,,86045,9330,826461,12538,814015,9970,84681,,,,,0,,0
20200712,"VA","A+",1966,1859,4,107,10355,10355,1045,64,,228,733375,16822,,,,,101,389,70670,67830,888,0,,,,,84998,9310,813923,16007,804045,17710,84299,,,,,0,,0
20200711,"VA","A+",1962,1857,4,105,10291,10291,1020,96,,230,716553,16759,,,,,97,365,69782,66963,851,0,,,,,83832,9271,797916,16539,786335,17610,82741,,,,,0,,0
20200710,"VA","A+",1958,1853,21,105,10195,10195,1006,174,,234,699794,14354,,,,,102,378,68931,66095,943,0,,,,,82679,9189,781377,13457,768725,15297,81023,,,,,0,,0
20200709,"VA","A+",1937,1832,32,105,10021,10021,956,39,,215,685440,14816,,,,,93,370,67988,65191,613,0,,,,,81692,9065,767920,16721,753428,15429,79162,,,,,0,,0
20200708,"VA","A+",1905,1799,24,106,9982,9982,971,167,,230,670624,9247,,,,,98,377,67375,64583,635,0,,,,,80487,9011,751199,12900,737999,9882,77155,,,,,0,,0
20200707,"VA","A+",1881,1775,28,106,9815,9815,902,223,,221,661377,12366,,,,,105,313,66740,63950,638,0,,,,,79499,8913,738299,10798,728117,13004,76855,,,,,0,,0
20200706,"VA","A+",1853,1747,0,106,9592,9592,783,16,,194,649011,5404,,,,,86,218,66102,63339,354,0,,,,,78870,8809,727501,9362,715113,5758,76515,,,,,0,,0
20200705,"VA","A+",1853,1746,4,107,9576,9576,792,27,,202,643607,9487,,,,,95,246,65748,62981,639,0,,,,,78124,8784,718139,10389,709355,10126,76396,,,,,0,,0
20200704,"VA","A+",1849,1745,4,104,9549,9549,808,20,,207,634120,10153,,,,,99,280,65109,62400,716,0,,,,,77536,8741,707750,11709,699229,10869,76035,,,,,0,,0
20200703,"VA","A+",1845,1741,29,104,9529,9529,818,145,,207,623967,13446,,,,,95,283,64393,61690,658,0,,,,,76798,8711,696041,11483,688360,14104,74372,,,,,0,,0
20200702,"VA","A+",1816,1712,30,104,9384,9384,888,361,,206,610521,15091,,,,,95,343,63735,61039,532,0,,,,,75964,8496,684558,12640,674256,15623,72920,,,,,0,,0
20200701,"VA","A+",1786,1681,23,105,9023,9023,892,41,,205,595430,13183,,,,,95,357,63203,60528,416,0,,,,,75141,8131,671918,16514,658633,13599,70194,,,,,0,,0
20200630,"VA","A+",1763,1658,23,105,8982,8982,902,159,,230,582247,8064,,,,,98,355,62787,60124,598,0,,,,,74344,8080,655404,9645,645034,8662,68722,,,,,0,,0
20200629,"VA","A+",1740,1635,8,105,8823,8823,796,0,,225,574183,7591,,,,,101,261,62189,59522,453,0,,,,,73788,8023,645759,9045,636372,8044,68405,,,,,0,,0
20200628,"VA","A+",1732,1628,8,104,8823,8823,818,36,,235,566592,9913,,,,,107,295,61736,59071,489,0,,,,,73198,8005,636714,10692,628328,10402,68067,,,,,0,,0
20200627,"VA","A+",1724,1620,24,104,8787,8787,819,65,,234,556679,10786,,,,,103,284,61247,58611,677,0,,,,,72567,7968,626022,10518,617926,11463,66791,,,,,0,,0
20200626,"VA","A+",1700,1596,25,104,8722,8722,854,50,,219,545893,12873,,,,,99,295,60570,57977,624,0,,,,,71867,7868,615504,11693,606463,13497,65491,,,,,0,,0
20200625,"VA","A+",1675,1572,14,103,8672,8672,854,21,,237,533020,15963,,,,,104,303,59946,57384,432,0,,,,,70986,7818,603811,11740,592966,16395,64096,,,,,0,,0
20200624,"VA","A+",1661,1559,16,102,8651,8651,886,79,,235,517057,7674,,,,,107,319,59514,56956,520,0,,,,,70203,7765,592071,10763,576571,8194,62083,,,,,0,,0
20200623,"VA","A+",1645,1542,25,103,8572,8572,847,61,,245,509383,9725,,,,,126,291,58994,56452,529,0,,,,,69593,7725,581308,8137,568377,10254,61413,,,,,0,,0
20200622,"VA","A+",1620,1517,9,103,8511,8511,848,2,,240,499658,11976,,,,,132,298,58465,55949,471,0,,,,,69143,7663,573171,8774,558123,12447,61200,,,,,0,,0
20200621,"VA","A+",1611,1508,4,103,8509,8509,863,22,,243,487682,13721,,,,,125,297,57994,55504,551,0,,,,,68672,7646,564397,14255,545676,14272,60730,,,,,0,,0
20200620,"VA","A+",1607,1504,5,103,8487,8487,880,62,,267,473961,18343,,,,,133,303,57443,54953,650,0,,,,,67975,7607,550142,8834,531404,18993,59738,,,,,0,,0
20200619,"VA","A+",1602,1499,16,103,8425,8425,862,75,,251,455618,9788,,,,,121,285,56793,54312,555,0,,,,,67410,7563,541308,9873,512411,10343,57232,,,,,0,,0
20200618,"VA","A+",1586,1482,3,104,8350,8350,857,-17,,241,445830,7264,,,,,129,259,56238,53769,463,0,,,,,66774,7493,531435,11335,502068,7727,55863,,,,,0,,0
20200617,"VA","A+",1583,1478,13,105,8367,8367,938,122,,249,438566,8459,,,,,120,313,55775,53318,444,0,,,,,66042,7429,520100,10219,494341,8903,54801,,,,,0,,0
20200616,"VA","A+",1570,1465,18,105,8245,8245,904,113,,241,430107,5994,,,,,125,257,55331,52917,445,0,,,,,65432,7341,509881,7489,485438,6439,53965,,,,,0,,0
